...Comp Geom...
94 Num Comps
179 Total Num Meshes
156608 Total Num Tris

Theo_Area   Wet_Area   Theo_Vol    Wet_Vol  Name
    1.211      1.211      0.038      0.038  Aft Fin 1      
    1.211      1.211      0.038      0.038  Aft Fin 1      
    1.211      1.211      0.038      0.038  Aft Fin 2      
    1.211      1.211      0.038      0.038  Aft Fin 2      
    1.211      1.211      0.038      0.038  Aft Fin 3      
    1.211      1.211      0.038      0.038  Aft Fin 3      
    1.211      1.211      0.038      0.038  Aft Fin 4      
    1.211      1.211      0.038      0.038  Aft Fin 4      
    0.303      0.303      0.005      0.005  Canard 1       
    0.303      0.280      0.005      0.005  Canard 1       
    0.303      0.291      0.005      0.005  Canard 2       
    0.303      0.303      0.005      0.005  Canard 2       
    0.303      0.283      0.005      0.005  Canard 3       
    0.303      0.303      0.005      0.005  Canard 3       
    0.303      0.303      0.005      0.005  Canard 4       
    0.303      0.296      0.005      0.005  Canard 4       
   15.531     11.960     -0.490     -0.636  AIM-9X Sidewinder
   15.531     11.960     -0.490     -0.636  AIM-9X Sidewinder
    1.211      1.211      0.038      0.038  Aft Fin 1      
    1.211      1.211      0.038      0.038  Aft Fin 1      
    1.211      1.211      0.038      0.038  Aft Fin 2      
    1.211      1.211      0.038      0.038  Aft Fin 2      
    1.211      1.211      0.038      0.038  Aft Fin 3      
    1.211      1.211      0.038      0.038  Aft Fin 3      
    1.211      1.211      0.038      0.038  Aft Fin 4      
    1.211      1.211      0.038      0.038  Aft Fin 4      
    0.303      0.263      0.005      0.005  Canard 1       
    0.303      0.261      0.005      0.005  Canard 1       
    0.303      0.260      0.005      0.005  Canard 2       
    0.303      0.263      0.005      0.005  Canard 2       
    0.303      0.000      0.005      0.000  Canard 3       
    0.303      0.000      0.005      0.000  Canard 3       
    0.303      0.001      0.005      0.000  Canard 4       
    0.303      0.001      0.005      0.000  Canard 4       
   27.029      5.106      6.066      1.817  MK-83 JDAM (inner)
   27.029      5.106      6.066      1.817  MK-83 JDAM (inner)
    1.211      0.000      0.038      0.000  Aft Fin 1      
    1.211      0.000      0.038      0.000  Aft Fin 1      
    1.211      0.000      0.038      0.000  Aft Fin 2      
    1.211      0.000      0.038      0.000  Aft Fin 2      
