2 0.000000 100.000000 579.435449
25 16 
1 -185.711428 0.000000 -202.164128 98.471569 -0.000000 17.367592 0.000172 
2 247.828703 0.000000 -202.164128 98.477509 -0.000001 17.316593 0.000232 
3 247.828703 0.000000 209.558103 98.504585 -0.000003 17.273662 -0.000153 
4 -185.711428 0.000000 209.558103 98.492644 -0.000000 17.366186 -0.000239 
5 31.058638 0.000000 3.696988 103.821735 -0.000001 3.572696 -0.079172 
6 -185.711428 0.000000 3.696988 98.483532 -0.000000 17.379398 -0.000105 
7 31.058638 0.000000 -202.164128 98.453269 -0.000001 17.336025 0.000642 
8 247.828703 0.000000 3.696988 98.820203 -0.000041 15.415117 -0.000306 
9 31.058638 0.000000 209.558103 98.516578 -0.000001 17.328485 -0.000579 
10 -77.326395 0.000000 -99.233570 98.441797 -0.000001 17.375911 0.000729 
11 -185.711428 0.000000 -99.233570 98.472541 -0.000000 17.374381 0.000129 
12 -77.326395 0.000000 -202.164128 98.460646 -0.000000 17.360575 0.000411 
13 31.058638 0.000000 -99.233570 98.367965 -0.000003 17.239303 0.002655 
14 -77.326395 0.000000 3.696988 98.493474 -0.000002 17.426043 -0.000463 
15 139.443670 0.000000 -99.233570 98.469533 -0.000005 17.166103 0.000908 
16 139.443670 0.000000 -202.164128 98.465730 -0.000001 17.316304 0.000465 
17 247.828703 0.000000 -99.233570 98.494442 -0.000004 17.214942 0.000249 
18 139.443670 0.000000 3.696988 99.495456 0.000037 11.518593 -0.003202 
19 139.443670 0.000000 106.627545 98.569062 -0.000009 17.029370 -0.000586 
20 31.058638 0.000000 106.627545 98.615774 -0.000004 17.223413 -0.002172 
21 247.828703 0.000000 106.627545 98.578815 -0.000015 16.841303 -0.000141 
22 139.443670 0.000000 209.558103 98.511077 -0.000002 17.295774 -0.000358 
23 -77.326395 0.000000 106.627545 98.528967 -0.000001 17.369268 -0.000965 
24 -185.711428 0.000000 106.627545 98.493228 -0.000000 17.372932 -0.000273 
25 -77.326395 0.000000 209.558103 98.505295 -0.000001 17.357289 -0.000457 
1 1 12 10 11 
2 12 7 13 10 
3 10 13 5 14 
4 11 10 14 6 
5 7 16 15 13 
6 16 2 17 15 
7 15 17 8 18 
8 13 15 18 5 
9 5 18 19 20 
10 18 8 21 19 
11 19 21 3 22 
12 20 19 22 9 
13 6 14 23 24 
14 14 5 20 23 
15 23 20 9 25 
16 24 23 25 4 
